query	df
query	df
query	df
query	df
query	df
plane crash us canada border bury	142,000
"""theres"" no such thing as a free lunch"	186,000
great britain 4th of july	17,100,000
great britain july4th	2,780,000
nickel	181,000,000
decade	223,000,000
plane crach victime bury	227,000
higher transaction costs	6,180,000
"marry ""widows"" sister california"	360,000
"""Theres"" no such thing as a free lunch"	186,000
a plane crashes where do they bury the survivors	1,800,000
high transaction	274,000,000
american coin material	32,100,000
how many months decade	222,000,000
4th july great britain	8,350,000
Paine	31,500,000
"california marry ""widows"" sister"	410,000
"""theres"" no such thing "	10,700,000
high transaction costs	13,800,000
High transaction costs will tend to	5,490,000
group of pandas	1,610,000
paine king legitimate power children	545,000
group of panda	29,000,000
widow	127,000,000
decade in years	223,000,000
pandas	22,000,000
i have 2 u.s. coins that total 55	19,500,000
u.s coin nickel	1,560,000
"Even if a king gains legitimate power why does Paine think that ""kings"" children should not automatically attain the same position"	897,000
nickle	2,420,000
50 cent nickel	10,500,000
"""4th of july"" ""Great Britain"""	303,000
plane crash us canada border bury plane crash us canada border bury	151,000
"plane crash us canada border bury ""theres"" no such thing as a free lunch"	3,500
plane crash us canada border bury great britain 4th of july	61,600
plane crash us canada border bury great britain july4th	11,300
plane crash us canada border bury nickel	81,700
plane crash us canada border bury decade	474,000
plane crash us canada border bury plane crach victime bury	125,000
plane crash us canada border bury higher transaction costs	124,000
"plane crash us canada border bury marry ""widows"" sister california"	22,100
"plane crash us canada border bury ""Theres"" no such thing as a free lunch"	3,500
plane crash us canada border bury a plane crashes where do they bury the survivors	152,000
plane crash us canada border bury high transaction	206,000
plane crash us canada border bury american coin material	185,000
plane crash us canada border bury how many months decade	453,000
plane crash us canada border bury 4th july great britain	78,300
plane crash us canada border bury Paine	119,000
"plane crash us canada border bury california marry ""widows"" sister"	22,100
"plane crash us canada border bury ""theres"" no such thing "	18,900
plane crash us canada border bury high transaction costs	38,100
plane crash us canada border bury High transaction costs will tend to	27,900
plane crash us canada border bury group of pandas	362,000
plane crash us canada border bury paine king legitimate power children	449,000
plane crash us canada border bury group of panda	360,000
plane crash us canada border bury widow	464,000
